Name,Price,Rating,Proccesor,Core,Thread,RAM(GB),Storage,Graphic_card,Display,Pixel,OS
HP 15-FC0029AU Laptop,66240,56.0,7th Gen AMD Ryzen 5 7520U,Quad Core,8,8 ,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion Plus 14-ew0116TU Laptop,66240,57.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP ZBook Firefly 14 G10 Workstation Laptop,66240,69.0,13th Gen Intel Core i7 1355U,10 Cores (2P + 8E),12,16,1TB,Intel Iris Xe Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP Victus 15-fa1124TX Gaming Laptop,66240,64.0,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),12,8 ,512GB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fr5010TU Laptop,66240,55.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,8 ,512GB,Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 245 G9 841W7PA Laptop,66240,50.0,3rd Gen AMD Ryzen 3 3250U,Dual Core,4,8 ,512GB,AMD Radeon Graphics,14 inches, 1366 x 768 pixels,DOS OS
HP Omen 16-wf1026TX Gaming Laptop,66240,,14th Gen Intel Core i7 14700HX,20 Cores (8P + 12E),28,16,1TB,8GB NVIDIA GeForce RTX 4070,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Envy x360 15-fh0014AU Laptop,66240,60.0,7th Gen AMD Ryzen 5 7530U,Hexa Core,12,8 ,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 240 G9 8J0S5PA Laptop,66240,54.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,8 ,512GB,Intel Iris Xe Graphics,14 inches, 1366 x 768 pixels,DOS OS
HP 240 G9 8J0S5PA Laptop,66240,54.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,8 ,512GB,Intel Iris Xe Graphics,14 inches, 1366 x 768 pixels,DOS OS
HP 15s-EQ2084AU Laptop,66240,57.0,5th Gen AMD Ryzen 7  5700U,Octa Core,16,16,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1145TX Gaming Laptop,66240,68.0,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),12,16,1TB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fq2510tu Laptop,66240,60.0,11th Gen Intel Core i5 1135G7 ,Quad Core,8,16,512GB,Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Spectre x360 14-ef2036TU Laptop,66240,66.0,13th Gen Intel Core i7 1355U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,13.5 inches, 3000 x 2000 pixels,Windows 11 OS
